*	* unknown
779671.80	-651406.36
779661.91	-651404.94
779656.45	-651405.39
779653.17	-651406.63
779650.09	-651406.61
779643.51	-651406.56
779636.73	-651404.62
779629.94	-651404.68
779623.17	-651405.19
779617.53	-651405.35
779612.64	-651405.36
779608.98	-651405.20
779605.74	-651404.73
779604.51	-651403.28
779599.90	-651402.25
779596.03	-651402.14
779592.06	-651399.95
779589.77	-651398.52
779586.42	-651398.29
779583.84	-651398.55
779581.12	-651399.15
779576.80	-651399.82
779570.40	-651400.72
779565.30	-651397.54
779560.29	-651398.33
779555.18	-651397.97
779552.12	-651396.98
779543.21	-651391.77
779537.91	-651388.34
779532.19	-651385.41
779529.78	-651382.90
779527.35	-651381.44
779525.88	-651378.55
779522.52	-651375.14
779519.43	-651372.71
779515.33	-651370.32
779513.21	-651368.29
779511.45	-651365.64
779508.33	-651363.14
779503.71	-651357.84
779501.19	-651355.82
779497.89	-651355.53
779495.18	-651355.53
779489.71	-651356.32
779484.75	-651356.49
779481.36	-651354.77
779479.34	-651351.85
779475.72	-651348.96
779472.13	-651347.31
779470.04	-651346.51
779466.24	-651345.06
779460.96	-651342.54
779455.82	-651339.48
779450.76	-651336.33
779447.99	-651335.47
779444.09	-651335.83
779441.30	-651336.97
779439.13	-651334.52
779436.72	-651331.59
779432.11	-651329.80
779427.63	-651329.39
779425.37	-651330.63
779425.23	-651333.35
779422.78	-651334.53
779419.37	-651334.93
779415.51	-651334.23
779411.75	-651332.80
779407.89	-651332.02
779405.63	-651334.25
779401.66	-651334.79
779396.74	-651333.80
779392.66	-651332.49
779388.16	-651332.34
779384.57	-651330.13
779383.83	-651329.06
779380.95	-651328.50
779377.31	-651328.94
779372.30	-651328.39
779368.15	-651329.32
779364.41	-651332.05
779360.85	-651332.72
779356.42	-651329.94
779349.84	-651325.64
779341.23	-651323.34
779337.89	-651321.06
779331.89	-651321.25
779326.15	-651322.33
779319.96	-651322.15
779315.84	-651323.07
779312.24	-651325.15
779309.58	-651326.39
779304.55	-651328.05
779299.52	-651327.39
779294.23	-651324.75
779289.70	-651323.24
779284.73	-651324.61
779281.47	-651325.23
779277.41	-651327.98
779270.52	-651327.67
779265.20	-651326.96
779262.16	-651325.00
779259.01	-651324.62
779257.08	-651323.14
779253.56	-651322.33
779251.18	-651318.62
779248.19	-651316.66
779243.32	-651315.32
779239.93	-651312.26
779236.97	-651309.21
779232.46	-651307.08
779229.14	-651304.13
779227.09	-651301.95
779222.01	-651300.64
779217.01	-651300.37
779213.31	-651300.65
779209.05	-651300.10
779205.56	-651297.84
779200.97	-651296.29
779195.43	-651293.04
