872460.93	-104639.08
867068.70	-99957.10
*	* unknown
880319.49	-113325.02
872460.93	-104639.08
*	* unknown
878456.13	-120610.32
879362.46	-115967.52
*	* unknown
868018.94	-123526.06
878456.13	-120610.32
*	* unknown
458051.62	-269308.92
455660.90	-267066.96
*	* unknown
603041.53	-257066.71
603047.90	-257026.40
*	* unknown
455741.00	-193465.44
457062.20	-187930.87
449162.09	-191203.98
451408.40	-195552.27
455741.00	-193465.44
*	* unknown
446076.33	-185545.05
444071.15	-185385.59
448323.33	-187290.40
447285.58	-185259.46
446076.33	-185545.05
*	* unknown
450687.93	-150138.08
443709.47	-151064.66
*	* unknown
440221.00	-319543.67
440209.81	-320151.09
*	* unknown
370294.42	-280475.09
382474.15	-277491.22
*	* unknown
330803.74	-288477.04
331972.43	-287218.19
328989.85	-288235.66
330879.49	-290121.35
330803.74	-288477.04
*	* unknown
605991.45	-100199.36
606660.25	-99686.83
*	* unknown
344187.91	-297512.60
345910.18	-299470.32
*	* unknown
345910.18	-299470.32
346559.88	-300665.24
*	* unknown
750868.61	-185001.49
750913.98	-184977.78
750920.53	-184952.28
750857.59	-184927.61
750868.61	-185001.49
*	* unknown
767838.53	-176183.80
767333.96	-174667.22
*	* unknown
635602.41	-114015.00
635617.30	-113993.22
*	* unknown
806573.89	-262231.10
809246.44	-261277.22
*	* Peenestrom
798291.19	-243364.38
797767.94	-243078.69
*	* unknown
662305.65	-132491.53
670071.16	-136138.59
*	* unknown
632842.80	-142299.35
636650.35	-144451.19
*	* unknown
536212.43	-110720.04
542402.69	-115429.04
*	* unknown
542185.03	-116848.29
542514.85	-115495.58
*	* unknown
543054.54	-115292.05
543426.92	-115615.42
*	* unknown
580871.29	-133264.43
582317.96	-132668.53
*	* unknown
465715.14	-221478.33
465469.79	-221502.59
*	* unknown
577533.08	-155906.49
575350.78	-152262.81
*	* unknown
593578.73	-140383.31
590430.45	-144276.64
*	* unknown
589673.30	-151935.34
589661.09	-151940.12
*	* unknown
444144.07	-98200.93
438721.06	-83285.27
*	* unknown
865700.34	-238707.53
865782.98	-241910.71
*	* unknown
348355.87	-282564.69
362297.31	-281173.59
*	* Elbe
454953.70	-266119.96
454108.15	-265585.01
*	* Elbe
453884.91	-264434.97
454112.99	-264182.29
*	* unknown
861511.73	-247999.09
857678.14	-253841.44
*	* unknown
862387.90	-237124.00
862289.45	-237000.69
*	* unknown
812885.38	-247765.92
811336.67	-251112.98
*	* unknown
719101.85	-200412.18
719096.64	-200461.79
719136.46	-200459.41
719133.23	-200417.54
719101.85	-200412.18
*	* Bülten
738719.48	-198420.90
738609.50	-198662.29
*	* unknown
753390.17	-188401.22
753927.30	-188231.80
*	* unknown
756107.94	-193412.81
758260.58	-191201.82
*	* unknown
858503.16	-304585.17
858139.95	-304795.39
*	* unknown
833018.60	-250930.22
832982.23	-250617.20
*	* unknown
842731.45	-258045.28
842724.06	-258045.94
*	* unknown
209857.86	-351380.78
201219.40	-357892.36
*	* unknown
332754.89	-324621.83
328987.50	-311835.82
*	* unknown
271198.18	-303745.16
272456.96	-303603.98
*	* unknown
309746.17	-299148.81
309392.25	-299081.85
*	* Warflether_Arm
440725.48	-344348.32
440551.44	-344266.95
*	* unknown
440403.92	-325918.06
438991.34	-336229.25
*	* unknown
795910.43	-228196.58
796613.72	-229074.56
*	* unknown
402127.14	-228779.71
402141.51	-228826.18
*	* unknown
577158.07	-138180.30
577711.85	-140433.95
*	* unknown
464446.55	-189540.38
465180.29	-188969.00
462656.90	-188660.64
463841.66	-189122.69
464446.55	-189540.38
*	* unknown
552858.81	-210892.65
553952.21	-208646.45
*	* unknown
545248.79	-179858.73
545980.93	-177291.37
*	* unknown
520137.75	-154591.88
525497.24	-151263.20
*	* unknown
524026.79	-149288.01
528766.74	-149137.34
*	* unknown
528766.74	-149137.34
526011.75	-139749.17
*	* unknown
515386.38	-133184.60
506062.76	-135627.79
*	* unknown
506174.31	-133421.65
513371.19	-130121.93
*	* unknown
513371.19	-130121.93
511478.47	-125560.32
*	* unknown
508180.06	-124197.88
508193.02	-124187.27
*	* Peenestrom
798597.73	-238452.91
798336.28	-238175.94
*	* unknown
798353.39	-238166.65
798541.51	-238001.06
*	* Peenestrom
806142.52	-249895.51
804217.31	-249664.28
*	* Peenestrom
803958.46	-258837.68
805117.84	-261617.32
*	* unknown
807223.30	-245008.81
806611.77	-247586.27
*	* Peenestrom
806201.06	-250067.64
806142.52	-249895.51
*	* unknown
806928.71	-248194.25
809977.78	-254268.04
*	* Peenestrom
806881.15	-248153.75
806928.71	-248194.25
*	* unknown
807304.27	-244913.52
807223.30	-245008.81
*	* unknown
805757.23	-242800.52
807153.90	-240910.69
*	* unknown
811227.52	-244568.91
807304.27	-244913.52
*	* unknown
816736.55	-247370.96
816605.51	-247780.62
*	* unknown
811336.67	-251112.98
811918.99	-246830.76
*	* unknown
800007.27	-242126.10
800491.10	-240646.32
*	* Peenestrom
806611.77	-247586.27
806881.15	-248153.75
*	* Peenestrom
799025.37	-238590.94
800007.27	-242126.10
*	* Peenestrom
799382.95	-237030.00
799025.37	-238590.94
*	* Peenestrom
803947.92	-258083.09
806160.15	-250239.62
*	* Peenestrom
806207.03	-263282.14
804883.92	-262257.67
*	* unknown
580149.96	-135379.99
579390.91	-135980.57
*	* unknown
583279.28	-132049.14
583480.07	-131482.22
*	* unknown
453460.84	-147343.04
453315.81	-148332.67
*	* unknown
813927.21	-242177.78
814624.18	-241336.13
*	* unknown
593861.82	-104038.64
593835.33	-104031.91
*	* unknown
504959.08	-157294.87
511827.10	-152234.49
*	* unknown
683577.62	-228793.50
683505.77	-229026.40
*	* unknown
677643.52	-230361.00
676917.28	-230668.88
*	* unknown
811425.15	-267917.56
809782.01	-266822.19
*	* unknown
438814.84	-317370.54
439009.81	-314286.11
*	* unknown
760068.90	-183755.28
760085.77	-183777.62
760110.18	-183772.40
760088.53	-183747.04
760068.90	-183755.28
*	* unknown
857719.70	-305866.48
857045.55	-306287.93
*	* unknown
860294.84	-307828.35
859800.11	-308241.71
*	* unknown
760104.77	-93288.27
763670.48	-91669.86
*	* Coastline_Nigehörn
436499.80	-257807.62
437841.20	-256622.76
*	* Coastline_Scharhörn
437841.20	-256622.76
437102.06	-256415.99
*	* unknown
440306.29	-313747.31
439987.21	-314892.09
*	* unknown
438663.90	-341595.28
437935.44	-341457.58
439624.79	-343194.16
439640.17	-342905.47
438663.90	-341595.28
*	* unknown
438780.91	-341545.17
438219.62	-340366.29
*	* unknown
440551.44	-344266.95
438780.91	-341545.17
*	* unknown
439040.45	-341219.27
443321.63	-345548.25
*	* unknown
447662.38	-347839.74
440725.48	-344348.32
*	* unknown
443321.63	-345548.25
447917.34	-347645.23
*	* unknown
450574.76	-352452.02
447662.38	-347839.74
*	* unknown
447917.34	-347645.23
451137.45	-352226.75
*	* unknown
458137.58	-357564.49
450574.76	-352452.02
*	* unknown
455200.51	-353786.37
454884.03	-353606.34
454577.11	-353478.68
454435.29	-353427.17
455200.51	-353786.37
*	* unknown
455950.92	-354156.95
456101.05	-354387.24
456122.30	-354392.97
455835.15	-353986.75
455950.92	-354156.95
*	* unknown
451137.45	-352226.75
456475.59	-354558.95
*	* unknown
460243.55	-358789.95
458137.58	-357564.49
*	* unknown
460492.66	-358794.72
