*	* * *
331039.16	-286981.17
*	* * *
331039.16	-286981.17
330425.02	-285716.38
331774.41	-284674.63
331948.26	-286330.03
*	* * *
834162.03	-276668.68
847263.64	-318178.03
847853.45	-320125.12
849702.15	-326221.24
846008.02	-334389.35
845642.99	-348622.72
831862.67	-361929.48
833319.49	-369440.93
832626.56	-376696.38
838654.63	-378770.12
854735.75	-392832.91
864259.00	-398511.53
868927.01	-403738.52
869464.11	-413944.99
864204.77	-425167.90
870047.69	-438996.03
877610.75	-442021.47
877441.60	-455634.27
882930.08	-461454.92
880842.04	-469645.59
880516.72	-479383.03
874135.99	-490615.98
886618.41	-508577.76
887610.61	-514251.46
885801.00	-518159.81
887091.32	-524075.80
903071.43	-530642.48
905654.60	-541936.66
910936.70	-552537.73
909643.21	-569544.39
904325.99	-590586.77
899533.34	-600261.03
*	* * *
358357.67	-282157.44
350551.11	-282408.71
350230.81	-280996.35
351571.12	-279862.80
358585.17	-280062.77
358357.67	-282157.44
*	* * *
418640.98	-285120.26
415780.24	-285353.64
414880.61	-282414.58
415733.89	-279978.48
418610.45	-281092.82
418640.98	-285120.26
*	* * *
372654.14	-281292.14
369166.81	-281327.00
371377.56	-276334.86
374246.68	-276284.20
372654.14	-281292.14
*	* * *
387163.64	-276622.31
385379.50	-279376.28
383209.36	-277153.53
385104.55	-274299.50
387163.64	-276622.31
*	* * *
392333.07	-274345.63
391308.74	-278365.55
386406.44	-275687.69
387265.01	-273952.87
392333.07	-274345.63
*	* * *
829031.31	-257608.38
817699.42	-258425.36
810819.12	-264206.30
819402.06	-270920.52
830715.72	-271587.32
834162.03	-276668.68
*	* * *
834162.03	-276668.68
837128.09	-272152.00
856471.37	-284533.55
857728.13	-280914.80
852876.24	-274044.63
856342.07	-264170.57
852386.90	-257511.49
841784.96	-254521.92
841324.46	-259001.74
836609.06	-262356.08
829031.31	-257608.38
*	* * *
829400.29	-250420.27
829031.31	-257608.38
*	* * *
443519.02	-260747.90
441592.91	-263677.44
438990.44	-262821.38
441745.70	-256667.24
443519.02	-260747.90
*	* * *
650442.71	-242054.36
647157.97	-245565.32
645585.96	-242840.42
648886.90	-238852.14
650442.71	-242054.36
*	* * *
454643.72	-195027.16
451480.01	-195624.76
449093.02	-191672.85
449895.70	-190392.89
455912.41	-187923.74
457439.97	-188376.30
456405.91	-192643.25
454643.72	-195027.16
*	* * *
750377.38	-180420.53
751459.24	-186460.90
747678.17	-186611.87
748664.18	-181486.53
750377.38	-180420.53
*	* * *
448517.08	-189141.73
446203.39	-189602.26
444560.70	-185959.19
447962.75	-183254.83
448517.08	-189141.73
*	* * *
437247.09	-180864.16
434729.08	-181776.49
429793.14	-174621.91
433227.79	-171417.08
434628.31	-176675.55
437247.09	-180864.16
*	* * *
448264.51	-173606.79
442872.77	-173515.04
437383.09	-171058.13
436947.46	-169365.27
439809.75	-165638.54
446326.87	-164964.42
449812.00	-166714.96
450302.66	-169296.12
448264.51	-173606.79
*	* * *
432236.83	-161162.58
430222.45	-166851.88
428347.67	-163841.91
429283.94	-159658.99
432236.83	-161162.58
*	* * *
829400.29	-250420.27
840323.22	-250498.39
863298.48	-236831.11
864395.85	-241114.04
870461.50	-233727.10
905386.28	-217509.25
914176.70	-214844.68
916212.22	-213265.71
924226.96	-210803.31
935356.74	-205112.71
952951.88	-198356.33
960863.46	-190556.66
971360.14	-174321.55
975849.93	-167324.90
987666.82	-161522.48
1000562.95	-156881.07
1022447.92	-138361.31
1048235.16	-129220.65
1067427.38	-121172.88
1090829.67	-117682.66
1096515.16	-120957.99
1097553.18	-128483.26
